"BOX","AER","Lwratio","box_num","box_ver","rich_num","temp","vel","inlet_angle","window","old_new","inlet_angle_sine","richardson_num"
"AERStall ",31.28,"2","40","4","ZRI",10,0.85,"90","OpenDown","old",0.893996663600558,3
"AERStall ",42.14,"2","40","4","ZRI",15,0.97,"0","OpenDown","old",0,1.9
"AERStall ",39.69,"2","40","4","ZRI",15,0.97,"45","OpenDown","old",0.850903524534118,1.9
"AERStall ",28.9,"2","40","4","ZRI",15,0.97,"90","OpenDown","old",0.893996663600558,1.9
"AERStall ",41.19,"2","10","2","ORI",0,0.33,"0","OpenDown","old",0,28
"AERStall ",34.43,"2","10","2","ORI",0,0.33,"45","OpenDown","old",0.850903524534118,28
"AERStall ",29.56,"2","10","2","ORI",0,0.33,"90","OpenDown","old",0.893996663600558,28
"AERStall ",44.44,"2","10","2","ORI",7,0.45,"0","OpenDown","old",0,12
"AERStall ",32.39,"2","10","2","ORI",7,0.45,"45","OpenDown","old",0.850903524534118,12
"AERStall ",28.48,"2","10","2","ORI",7,0.45,"90","OpenDown","old",0.893996663600558,12
"AERStall ",71.85,"2","10","2","URI",22,2.5,"0","OpenDown","old",0,0.198
"AERStall ",72.03,"2","10","2","URI",22,2.5,"45","OpenDown","old",0.850903524534118,0.198
"AERStall ",44.48,"2","10","2","URI",22,2.5,"90","OpenDown","old",0.893996663600558,0.198
"AERStall ",73.28,"2","10","2","URI",30,2.8,"0","OpenDown","old",0,0.078
"AERStall ",73.33,"2","10","2","URI",30,2.8,"45","OpenDown","old",0.850903524534118,0.078
"AERStall ",35.98,"2","10","2","URI",30,2.8,"90","OpenDown","old",0.893996663600558,0.078
"AERStall ",46.04,"2","10","2","ZRI",10,0.85,"0","OpenDown","old",0,3
"AERStall ",38.75,"2","10","2","ZRI",10,0.85,"45","OpenDown","old",0.850903524534118,3
"AERStall ",31.28,"2","10","2","ZRI",10,0.85,"90","OpenDown","old",0.893996663600558,3
"AERStall ",42.14,"2","10","2","ZRI",15,0.97,"0","OpenDown","old",0,1.9
"AERStall ",39.69,"2","10","2","ZRI",15,0.97,"45","OpenDown","old",0.850903524534118,1.9
"AERStall ",28.9,"2","10","2","ZRI",15,0.97,"90","OpenDown","old",0.893996663600558,1.9
"AERStall ",37.46,"2","40","4","ORI",-2,0.25,"0","OpenDown","new",0,51.75
"AERStall ",38.58,"2","40","4","ORI",-2,0.25,"45","OpenDown","new",0.850903524534118,51.75
"AERStall ",28.97,"2","40","4","ORI",-2,0.25,"90","OpenDown","new",0.893996663600558,51.75
"AERStall ",80.88,"2","40","4","URI",32,3.2,"0","OpenDown","new",0,0.0448
"AERStall ",81.05,"2","40","4","URI",32,3.2,"45","OpenDown","new",0.850903524534118,0.0448
"AERStall ",37.74,"2","40","4","URI",32,3.2,"90","OpenDown","new",0.893996663600558,0.0448
"AERStall ",48.62,"2","40","4","ZRI",18,1.4,"0","OpenDown","new",0,0.8
"AERStall ",47.42,"2","40","4","ZRI",18,1.4,"45","OpenDown","new",0.850903524534118,0.8
"AERStall ",36.41,"2","40","4","ZRI",18,1.4,"90","OpenDown","new",0.893996663600558,0.8
"AERStall ",37.46,"2","10","2","ORI",-2,0.25,"0","OpenDown","new",0,51.75
"AERStall ",38.58,"2","10","2","ORI",-2,0.25,"45","OpenDown","new",0.850903524534118,51.75
"AERStall ",28.97,"2","10","2","ORI",-2,0.25,"90","OpenDown","new",0.893996663600558,51.75
"AERStall ",80.88,"2","10","2","URI",32,3.2,"0","OpenDown","new",0,0.0448
"AERStall ",81.05,"2","10","2","URI",32,3.2,"45","OpenDown","new",0.850903524534118,0.0448
"AERStall ",37.74,"2","10","2","URI",32,3.2,"90","OpenDown","new",0.893996663600558,0.0448
"AERStall ",48.62,"2","10","2","ZRI",18,1.4,"0","OpenDown","new",0,0.8
"AERStall ",47.42,"2","10","2","ZRI",18,1.4,"45","OpenDown","new",0.850903524534118,0.8
"AERStall ",36.41,"2","10","2","ZRI",18,1.4,"90","OpenDown","new",0.893996663600558,0.8
"AERStall ",33.41,"2","40","4","ORI",0,0.33,"0","OpenUp","old",0,28
"AERStall ",30.82,"2","40","4","ORI",0,0.33,"45","OpenUp","old",0.850903524534118,28
"AERStall ",27.79,"2","40","4","ORI",0,0.33,"90","OpenUp","old",0.893996663600558,28
"AERStall ",32.95,"2","40","4","ORI",7,0.45,"0","OpenUp","old",0,12
"AERStall ",27.41,"2","40","4","ORI",7,0.45,"45","OpenUp","old",0.850903524534118,12
"AERStall ",24.91,"2","40","4","ORI",7,0.45,"90","OpenUp","old",0.893996663600558,12
"AERStall ",71.46,"2","40","4","URI",22,2.5,"0","OpenUp","old",0,0.198
"AERStall ",56.52,"2","40","4","URI",22,2.5,"45","OpenUp","old",0.850903524534118,0.198
"AERStall ",33.93,"2","40","4","URI",22,2.5,"90","OpenUp","old",0.893996663600558,0.198
"AERStall ",79.27,"2","40","4","URI",30,2.8,"0","OpenUp","old",0,0.078
"AERStall ",60.76,"2","40","4","URI",30,2.8,"45","OpenUp","old",0.850903524534118,0.078
"AERStall ",30.49,"2","40","4","URI",30,2.8,"90","OpenUp","old",0.893996663600558,0.078
"AERStall ",33.38,"2","40","4","ZRI",10,0.85,"0","OpenUp","old",0,3
"AERStall ",27.88,"2","40","4","ZRI",10,0.85,"45","OpenUp","old",0.850903524534118,3
"AERStall ",26.51,"2","40","4","ZRI",10,0.85,"90","OpenUp","old",0.893996663600558,3
"AERStall ",34.87,"2","40","4","ZRI",15,0.97,"0","OpenUp","old",0,1.9
"AERStall ",29.92,"2","40","4","ZRI",15,0.97,"45","OpenUp","old",0.850903524534118,1.9
"AERStall ",24.93,"2","40","4","ZRI",15,0.97,"90","OpenUp","old",0.893996663600558,1.9
"AERStall ",33.41,"2","10","2","ORI",0,0.33,"0","OpenUp","old",0,28
"AERStall ",30.82,"2","10","2","ORI",0,0.33,"45","OpenUp","old",0.850903524534118,28
"AERStall ",27.79,"2","10","2","ORI",0,0.33,"90","OpenUp","old",0.893996663600558,28
"AERStall ",32.95,"2","10","2","ORI",7,0.45,"0","OpenUp","old",0,12
"AERStall ",27.41,"2","10","2","ORI",7,0.45,"45","OpenUp","old",0.850903524534118,12
"AERStall ",24.91,"2","10","2","ORI",7,0.45,"90","OpenUp","old",0.893996663600558,12
"AERStall ",71.46,"2","10","2","URI",22,2.5,"0","OpenUp","old",0,0.198
"AERStall ",56.52,"2","10","2","URI",22,2.5,"45","OpenUp","old",0.850903524534118,0.198
"AERStall ",33.93,"2","10","2","URI",22,2.5,"90","OpenUp","old",0.893996663600558,0.198
"AERStall ",79.27,"2","10","2","URI",30,2.8,"0","OpenUp","old",0,0.078
"AERStall ",60.76,"2","10","2","URI",30,2.8,"45","OpenUp","old",0.850903524534118,0.078
"AERStall ",30.49,"2","10","2","URI",30,2.8,"90","OpenUp","old",0.893996663600558,0.078
"AERStall ",33.38,"2","10","2","ZRI",10,0.85,"0","OpenUp","old",0,3
"AERStall ",27.88,"2","10","2","ZRI",10,0.85,"45","OpenUp","old",0.850903524534118,3
"AERStall ",26.51,"2","10","2","ZRI",10,0.85,"90","OpenUp","old",0.893996663600558,3
"AERStall ",34.87,"2","10","2","ZRI",15,0.97,"0","OpenUp","old",0,1.9
"AERStall ",29.92,"2","10","2","ZRI",15,0.97,"45","OpenUp","old",0.850903524534118,1.9
"AERStall ",24.93,"2","10","2","ZRI",15,0.97,"90","OpenUp","old",0.893996663600558,1.9
"AERStall ",35.02,"2","40","4","ORI",-2,0.25,"0","OpenUp","new",0,51.75
"AERStall ",31.15,"2","40","4","ORI",-2,0.25,"45","OpenUp","new",0.850903524534118,51.75
"AERStall ",28.53,"2","40","4","ORI",-2,0.25,"90","OpenUp","new",0.893996663600558,51.75
"AERStall ",88.14,"2","40","4","URI",32,3.2,"0","OpenUp","new",0,0.0448
"AERStall ",68.53,"2","40","4","URI",32,3.2,"45","OpenUp","new",0.850903524534118,0.0448
"AERStall ",34.44,"2","40","4","URI",32,3.2,"90","OpenUp","new",0.893996663600558,0.0448
"AERStall ",41.84,"2","40","4","ZRI",18,1.4,"0","OpenUp","new",0,0.8
"AERStall ",35.83,"2","40","4","ZRI",18,1.4,"45","OpenUp","new",0.850903524534118,0.8
"AERStall ",26.34,"2","40","4","ZRI",18,1.4,"90","OpenUp","new",0.893996663600558,0.8
"AERStall ",35.02,"2","10","2","ORI",-2,0.25,"0","OpenUp","new",0,51.75
"AERStall ",31.15,"2","10","2","ORI",-2,0.25,"45","OpenUp","new",0.850903524534118,51.75
"AERStall ",28.53,"2","10","2","ORI",-2,0.25,"90","OpenUp","new",0.893996663600558,51.75
"AERStall ",88.14,"2","10","2","URI",32,3.2,"0","OpenUp","new",0,0.0448
"AERStall ",68.53,"2","10","2","URI",32,3.2,"45","OpenUp","new",0.850903524534118,0.0448
"AERStall ",34.44,"2","10","2","URI",32,3.2,"90","OpenUp","new",0.893996663600558,0.0448
"AERStall ",41.84,"2","10","2","ZRI",18,1.4,"0","OpenUp","new",0,0.8
"AERStall ",35.83,"2","10","2","ZRI",18,1.4,"45","OpenUp","new",0.850903524534118,0.8
"AERStall ",26.34,"2","10","2","ZRI",18,1.4,"90","OpenUp","new",0.893996663600558,0.8
"AERStall ",64.13,"3","40","4","ORI",0,0.33,"0","Open","old",0,28
"AERStall ",52.01,"3","40","4","ORI",0,0.33,"45","Open","old",0.850903524534118,28
"AERStall ",47.97,"3","40","4","ORI",0,0.33,"90","Open","old",0.893996663600558,28
"AERStall ",61.95,"3","40","4","ORI",7,0.45,"0","Open","old",0,12
"AERStall ",47.43,"3","40","4","ORI",7,0.45,"45","Open","old",0.850903524534118,12
"AERStall ",43.76,"3","40","4","ORI",7,0.45,"90","Open","old",0.893996663600558,12
"AERStall ",160.1,"3","40","4","URI",22,2.5,"0","Open","old",0,0.198
"AERStall ",131.4,"3","40","4","URI",22,2.5,"45","Open","old",0.850903524534118,0.198
"AERStall ",47.93,"3","40","4","URI",22,2.5,"90","Open","old",0.893996663600558,0.198
"AERStall ",174.9,"3","40","4","URI",30,2.8,"0","Open","old",0,0.078
"AERStall ",141.4,"3","40","4","URI",30,2.8,"45","Open","old",0.850903524534118,0.078
"AERStall ",37.47,"3","40","4","URI",30,2.8,"90","Open","old",0.893996663600558,0.078
"AERStall ",76.83,"3","40","4","ZRI",10,0.85,"0","Open","old",0,3
"AERStall ",52.87,"3","40","4","ZRI",10,0.85,"45","Open","old",0.850903524534118,3
"AERStall ",44.71,"3","40","4","ZRI",10,0.85,"90","Open","old",0.893996663600558,3
"AERStall ",77.14,"3","40","4","ZRI",15,0.97,"0","Open","old",0,1.9
"AERStall ",57.39,"3","40","4","ZRI",15,0.97,"45","Open","old",0.850903524534118,1.9
"AERStall ",41.36,"3","40","4","ZRI",15,0.97,"90","Open","old",0.893996663600558,1.9
"AERStall ",64.13,"3","10","2","ORI",0,0.33,"0","Open","old",0,28
"AERStall ",52.01,"3","10","2","ORI",0,0.33,"45","Open","old",0.850903524534118,28
"AERStall ",47.97,"3","10","2","ORI",0,0.33,"90","Open","old",0.893996663600558,28
"AERStall ",61.95,"3","10","2","ORI",7,0.45,"0","Open","old",0,12
"AERStall ",47.43,"3","10","2","ORI",7,0.45,"45","Open","old",0.850903524534118,12
"AERStall ",43.76,"3","10","2","ORI",7,0.45,"90","Open","old",0.893996663600558,12
"AERStall ",160.1,"3","10","2","URI",22,2.5,"0","Open","old",0,0.198
"AERStall ",131.4,"3","10","2","URI",22,2.5,"45","Open","old",0.850903524534118,0.198
"AERStall ",47.93,"3","10","2","URI",22,2.5,"90","Open","old",0.893996663600558,0.198
"AERStall ",174.9,"3","10","2","URI",30,2.8,"0","Open","old",0,0.078
"AERStall ",141.4,"3","10","2","URI",30,2.8,"45","Open","old",0.850903524534118,0.078
"AERStall ",37.47,"3","10","2","URI",30,2.8,"90","Open","old",0.893996663600558,0.078
"AERStall ",76.83,"3","10","2","ZRI",10,0.85,"0","Open","old",0,3
"AERStall ",52.87,"3","10","2","ZRI",10,0.85,"45","Open","old",0.850903524534118,3
"AERStall ",44.71,"3","10","2","ZRI",10,0.85,"90","Open","old",0.893996663600558,3
"AERStall ",77.14,"3","10","2","ZRI",15,0.97,"0","Open","old",0,1.9
"AERStall ",57.39,"3","10","2","ZRI",15,0.97,"45","Open","old",0.850903524534118,1.9
"AERStall ",41.36,"3","10","2","ZRI",15,0.97,"90","Open","old",0.893996663600558,1.9
"AERStall ",57.56,"3","40","4","ORI",-2,0.25,"0","Open","new",0,51.75
"AERStall ",58.53,"3","40","4","ORI",-2,0.25,"45","Open","new",0.850903524534118,51.75
"AERStall ",46.15,"3","40","4","ORI",-2,0.25,"90","Open","new",0.893996663600558,51.75
"AERStall ",196.3,"3","40","4","URI",32,3.2,"0","Open","new",0,0.0448
"AERStall ",157.2,"3","40","4","URI",32,3.2,"45","Open","new",0.850903524534118,0.0448
"AERStall ",35.5,"3","40","4","URI",32,3.2,"90","Open","new",0.893996663600558,0.0448
"AERStall ",96.9,"3","40","4","ZRI",18,1.4,"0","Open","new",0,0.8
"AERStall ",77.82,"3","40","4","ZRI",18,1.4,"45","Open","new",0.850903524534118,0.8
"AERStall ",40.98,"3","40","4","ZRI",18,1.4,"90","Open","new",0.893996663600558,0.8
"AERStall ",57.56,"3","10","2","ORI",-2,0.25,"0","Open","new",0,51.75
"AERStall ",58.53,"3","10","2","ORI",-2,0.25,"45","Open","new",0.850903524534118,51.75
"AERStall ",46.15,"3","10","2","ORI",-2,0.25,"90","Open","new",0.893996663600558,51.75
"AERStall ",196.3,"3","10","2","URI",32,3.2,"0","Open","new",0,0.0448
"AERStall ",157.2,"3","10","2","URI",32,3.2,"45","Open","new",0.850903524534118,0.0448
"AERStall ",35.5,"3","10","2","URI",32,3.2,"90","Open","new",0.893996663600558,0.0448
"AERStall ",96.9,"3","10","2","ZRI",18,1.4,"0","Open","new",0,0.8
"AERStall ",77.82,"3","10","2","ZRI",18,1.4,"45","Open","new",0.850903524534118,0.8
"AERStall ",40.98,"3","10","2","ZRI",18,1.4,"90","Open","new",0.893996663600558,0.8
"AERStall ",34.94,"3","40","4","ORI",0,0.33,"0","OpenDown","old",0,28
"AERStall ",31.95,"3","40","4","ORI",0,0.33,"45","OpenDown","old",0.850903524534118,28
"AERStall ",27.82,"3","40","4","ORI",0,0.33,"90","OpenDown","old",0.893996663600558,28
"AERStall ",37.59,"3","40","4","ORI",7,0.45,"0","OpenDown","old",0,12
"AERStall ",31.34,"3","40","4","ORI",7,0.45,"45","OpenDown","old",0.850903524534118,12
"AERStall ",24.73,"3","40","4","ORI",7,0.45,"90","OpenDown","old",0.893996663600558,12
"AERStall ",70.29,"3","40","4","URI",22,2.5,"0","OpenDown","old",0,0.198
