aer,lwratio,box_num,rich_num,temp,vel,inlet_angle,window,old_new,richardson_num
20.85,4,40,ZRI,10,0.85,90,OpenUp,old,3.0
34.12,4,40,ZRI,15,0.97,0,OpenUp,old,1.9
24.94,4,40,ZRI,15,0.97,45,OpenUp,old,1.9
18.93,4,40,ZRI,15,0.97,90,OpenUp,old,1.9
30.87,4,10,ORI,0,0.33,0,OpenUp,old,28.0
28.89,4,10,ORI,0,0.33,45,OpenUp,old,28.0
22.65,4,10,ORI,0,0.33,90,OpenUp,old,28.0
28.33,4,10,ORI,7,0.45,0,OpenUp,old,12.0
24.16,4,10,ORI,7,0.45,45,OpenUp,old,12.0
20.77,4,10,ORI,7,0.45,90,OpenUp,old,12.0
69.89,4,10,URI,22,2.5,0,OpenUp,old,0.198
50.1,4,10,URI,22,2.5,45,OpenUp,old,0.198
23.5,4,10,URI,22,2.5,90,OpenUp,old,0.198
79.62,4,10,URI,30,2.8,0,OpenUp,old,0.078
55.73,4,10,URI,30,2.8,45,OpenUp,old,0.078
19.92,4,10,URI,30,2.8,90,OpenUp,old,0.078
32.36,4,10,ZRI,10,0.85,0,OpenUp,old,3.0
25.01,4,10,ZRI,10,0.85,45,OpenUp,old,3.0
20.85,4,10,ZRI,10,0.85,90,OpenUp,old,3.0
34.12,4,10,ZRI,15,0.97,0,OpenUp,old,1.9
24.94,4,10,ZRI,15,0.97,45,OpenUp,old,1.9
18.93,4,10,ZRI,15,0.97,90,OpenUp,old,1.9
29.99,4,40,ORI,-2,0.25,0,OpenUp,new,51.75
27.79,4,40,ORI,-2,0.25,45,OpenUp,new,51.75
22.73,4,40,ORI,-2,0.25,90,OpenUp,new,51.75
91.64,4,40,URI,32,3.2,0,OpenUp,new,0.0448
63.93,4,40,URI,32,3.2,45,OpenUp,new,0.0448
20.43,4,40,URI,32,3.2,90,OpenUp,new,0.0448
42.04,4,40,ZRI,18,1.4,0,OpenUp,new,0.8
31.3,4,40,ZRI,18,1.4,45,OpenUp,new,0.8
20.65,4,40,ZRI,18,1.4,90,OpenUp,new,0.8
29.99,4,10,ORI,-2,0.25,0,OpenUp,new,51.75
27.79,4,10,ORI,-2,0.25,45,OpenUp,new,51.75
22.73,4,10,ORI,-2,0.25,90,OpenUp,new,51.75
91.64,4,10,URI,32,3.2,0,OpenUp,new,0.0448
63.93,4,10,URI,32,3.2,45,OpenUp,new,0.0448
20.43,4,10,URI,32,3.2,90,OpenUp,new,0.0448
42.04,4,10,ZRI,18,1.4,0,OpenUp,new,0.8
31.3,4,10,ZRI,18,1.4,45,OpenUp,new,0.8
20.65,4,10,ZRI,18,1.4,90,OpenUp,new,0.8
