aer,lwratio,box_num,rich_num,temp,vel,inlet_angle,window,old_new,richardson_num
81.05,2,10,URI,32,3.2,45,OpenDown,new,0.0448
37.74,2,10,URI,32,3.2,90,OpenDown,new,0.0448
48.62,2,10,ZRI,18,1.4,0,OpenDown,new,0.8
47.42,2,10,ZRI,18,1.4,45,OpenDown,new,0.8
36.41,2,10,ZRI,18,1.4,90,OpenDown,new,0.8
33.41,2,40,ORI,0,0.33,0,OpenUp,old,28.0
30.82,2,40,ORI,0,0.33,45,OpenUp,old,28.0
27.79,2,40,ORI,0,0.33,90,OpenUp,old,28.0
32.95,2,40,ORI,7,0.45,0,OpenUp,old,12.0
27.41,2,40,ORI,7,0.45,45,OpenUp,old,12.0
24.91,2,40,ORI,7,0.45,90,OpenUp,old,12.0
71.46,2,40,URI,22,2.5,0,OpenUp,old,0.198
56.52,2,40,URI,22,2.5,45,OpenUp,old,0.198
33.93,2,40,URI,22,2.5,90,OpenUp,old,0.198
79.27,2,40,URI,30,2.8,0,OpenUp,old,0.078
60.76,2,40,URI,30,2.8,45,OpenUp,old,0.078
30.49,2,40,URI,30,2.8,90,OpenUp,old,0.078
33.38,2,40,ZRI,10,0.85,0,OpenUp,old,3.0
27.88,2,40,ZRI,10,0.85,45,OpenUp,old,3.0
26.51,2,40,ZRI,10,0.85,90,OpenUp,old,3.0
34.87,2,40,ZRI,15,0.97,0,OpenUp,old,1.9
29.92,2,40,ZRI,15,0.97,45,OpenUp,old,1.9
24.93,2,40,ZRI,15,0.97,90,OpenUp,old,1.9
33.41,2,10,ORI,0,0.33,0,OpenUp,old,28.0
30.82,2,10,ORI,0,0.33,45,OpenUp,old,28.0
27.79,2,10,ORI,0,0.33,90,OpenUp,old,28.0
32.95,2,10,ORI,7,0.45,0,OpenUp,old,12.0
27.41,2,10,ORI,7,0.45,45,OpenUp,old,12.0
24.91,2,10,ORI,7,0.45,90,OpenUp,old,12.0
71.46,2,10,URI,22,2.5,0,OpenUp,old,0.198
56.52,2,10,URI,22,2.5,45,OpenUp,old,0.198
33.93,2,10,URI,22,2.5,90,OpenUp,old,0.198
79.27,2,10,URI,30,2.8,0,OpenUp,old,0.078
60.76,2,10,URI,30,2.8,45,OpenUp,old,0.078
30.49,2,10,URI,30,2.8,90,OpenUp,old,0.078
33.38,2,10,ZRI,10,0.85,0,OpenUp,old,3.0
27.88,2,10,ZRI,10,0.85,45,OpenUp,old,3.0
26.51,2,10,ZRI,10,0.85,90,OpenUp,old,3.0
34.87,2,10,ZRI,15,0.97,0,OpenUp,old,1.9
29.92,2,10,ZRI,15,0.97,45,OpenUp,old,1.9
24.93,2,10,ZRI,15,0.97,90,OpenUp,old,1.9
35.02,2,40,ORI,-2,0.25,0,OpenUp,new,51.75
31.15,2,40,ORI,-2,0.25,45,OpenUp,new,51.75
28.53,2,40,ORI,-2,0.25,90,OpenUp,new,51.75
88.14,2,40,URI,32,3.2,0,OpenUp,new,0.0448
68.53,2,40,URI,32,3.2,45,OpenUp,new,0.0448
34.44,2,40,URI,32,3.2,90,OpenUp,new,0.0448
41.84,2,40,ZRI,18,1.4,0,OpenUp,new,0.8
35.83,2,40,ZRI,18,1.4,45,OpenUp,new,0.8
26.34,2,40,ZRI,18,1.4,90,OpenUp,new,0.8
35.02,2,10,ORI,-2,0.25,0,OpenUp,new,51.75
31.15,2,10,ORI,-2,0.25,45,OpenUp,new,51.75
28.53,2,10,ORI,-2,0.25,90,OpenUp,new,51.75
88.14,2,10,URI,32,3.2,0,OpenUp,new,0.0448
68.53,2,10,URI,32,3.2,45,OpenUp,new,0.0448
34.44,2,10,URI,32,3.2,90,OpenUp,new,0.0448
41.84,2,10,ZRI,18,1.4,0,OpenUp,new,0.8
35.83,2,10,ZRI,18,1.4,45,OpenUp,new,0.8
26.34,2,10,ZRI,18,1.4,90,OpenUp,new,0.8
64.13,3,40,ORI,0,0.33,0,Open,old,28.0
52.01,3,40,ORI,0,0.33,45,Open,old,28.0
47.97,3,40,ORI,0,0.33,90,Open,old,28.0
61.95,3,40,ORI,7,0.45,0,Open,old,12.0
47.43,3,40,ORI,7,0.45,45,Open,old,12.0
43.76,3,40,ORI,7,0.45,90,Open,old,12.0
160.1,3,40,URI,22,2.5,0,Open,old,0.198
131.4,3,40,URI,22,2.5,45,Open,old,0.198
47.93,3,40,URI,22,2.5,90,Open,old,0.198
174.9,3,40,URI,30,2.8,0,Open,old,0.078
141.4,3,40,URI,30,2.8,45,Open,old,0.078
37.47,3,40,URI,30,2.8,90,Open,old,0.078
76.83,3,40,ZRI,10,0.85,0,Open,old,3.0
52.87,3,40,ZRI,10,0.85,45,Open,old,3.0
44.71,3,40,ZRI,10,0.85,90,Open,old,3.0
77.14,3,40,ZRI,15,0.97,0,Open,old,1.9
57.39,3,40,ZRI,15,0.97,45,Open,old,1.9
41.36,3,40,ZRI,15,0.97,90,Open,old,1.9
64.13,3,10,ORI,0,0.33,0,Open,old,28.0
52.01,3,10,ORI,0,0.33,45,Open,old,28.0
47.97,3,10,ORI,0,0.33,90,Open,old,28.0
61.95,3,10,ORI,7,0.45,0,Open,old,12.0
47.43,3,10,ORI,7,0.45,45,Open,old,12.0
43.76,3,10,ORI,7,0.45,90,Open,old,12.0
160.1,3,10,URI,22,2.5,0,Open,old,0.198
131.4,3,10,URI,22,2.5,45,Open,old,0.198
47.93,3,10,URI,22,2.5,90,Open,old,0.198
174.9,3,10,URI,30,2.8,0,Open,old,0.078
141.4,3,10,URI,30,2.8,45,Open,old,0.078
37.47,3,10,URI,30,2.8,90,Open,old,0.078
76.83,3,10,ZRI,10,0.85,0,Open,old,3.0
52.87,3,10,ZRI,10,0.85,45,Open,old,3.0
44.71,3,10,ZRI,10,0.85,90,Open,old,3.0
77.14,3,10,ZRI,15,0.97,0,Open,old,1.9
57.39,3,10,ZRI,15,0.97,45,Open,old,1.9
41.36,3,10,ZRI,15,0.97,90,Open,old,1.9
57.56,3,40,ORI,-2,0.25,0,Open,new,51.75
58.53,3,40,ORI,-2,0.25,45,Open,new,51.75
46.15,3,40,ORI,-2,0.25,90,Open,new,51.75
196.3,3,40,URI,32,3.2,0,Open,new,0.0448
157.2,3,40,URI,32,3.2,45,Open,new,0.0448
35.5,3,40,URI,32,3.2,90,Open,new,0.0448
96.9,3,40,ZRI,18,1.4,0,Open,new,0.8
77.82,3,40,ZRI,18,1.4,45,Open,new,0.8
40.98,3,40,ZRI,18,1.4,90,Open,new,0.8
57.56,3,10,ORI,-2,0.25,0,Open,new,51.75
58.53,3,10,ORI,-2,0.25,45,Open,new,51.75
46.15,3,10,ORI,-2,0.25,90,Open,new,51.75
196.3,3,10,URI,32,3.2,0,Open,new,0.0448
157.2,3,10,URI,32,3.2,45,Open,new,0.0448
35.5,3,10,URI,32,3.2,90,Open,new,0.0448
96.9,3,10,ZRI,18,1.4,0,Open,new,0.8
77.82,3,10,ZRI,18,1.4,45,Open,new,0.8
40.98,3,10,ZRI,18,1.4,90,Open,new,0.8
34.94,3,40,ORI,0,0.33,0,OpenDown,old,28.0
31.95,3,40,ORI,0,0.33,45,OpenDown,old,28.0
27.82,3,40,ORI,0,0.33,90,OpenDown,old,28.0
37.59,3,40,ORI,7,0.45,0,OpenDown,old,12.0
31.34,3,40,ORI,7,0.45,45,OpenDown,old,12.0
24.73,3,40,ORI,7,0.45,90,OpenDown,old,12.0
70.29,3,40,URI,22,2.5,0,OpenDown,old,0.198
67.53,3,40,URI,22,2.5,45,OpenDown,old,0.198
36.16,3,40,URI,22,2.5,90,OpenDown,old,0.198
73.11,3,40,URI,30,2.8,0,OpenDown,old,0.078
67.51,3,40,URI,30,2.8,45,OpenDown,old,0.078
36.45,3,40,URI,30,2.8,90,OpenDown,old,0.078
41.69,3,40,ZRI,10,0.85,0,OpenDown,old,3.0
34.78,3,40,ZRI,10,0.85,45,OpenDown,old,3.0
29.06,3,40,ZRI,10,0.85,90,OpenDown,old,3.0
41.8,3,40,ZRI,15,0.97,0,OpenDown,old,1.9
35.72,3,40,ZRI,15,0.97,45,OpenDown,old,1.9
27.19,3,40,ZRI,15,0.97,90,OpenDown,old,1.9
34.94,3,10,ORI,0,0.33,0,OpenDown,old,28.0
31.95,3,10,ORI,0,0.33,45,OpenDown,old,28.0
27.82,3,10,ORI,0,0.33,90,OpenDown,old,28.0
37.59,3,10,ORI,7,0.45,0,OpenDown,old,12.0
31.34,3,10,ORI,7,0.45,45,OpenDown,old,12.0
24.73,3,10,ORI,7,0.45,90,OpenDown,old,12.0
70.29,3,10,URI,22,2.5,0,OpenDown,old,0.198
67.53,3,10,URI,22,2.5,45,OpenDown,old,0.198
36.16,3,10,URI,22,2.5,90,OpenDown,old,0.198
73.11,3,10,URI,30,2.8,0,OpenDown,old,0.078
67.51,3,10,URI,30,2.8,45,OpenDown,old,0.078
36.45,3,10,URI,30,2.8,90,OpenDown,old,0.078
41.69,3,10,ZRI,10,0.85,0,OpenDown,old,3.0
34.78,3,10,ZRI,10,0.85,45,OpenDown,old,3.0
29.06,3,10,ZRI,10,0.85,90,OpenDown,old,3.0
41.8,3,10,ZRI,15,0.97,0,OpenDown,old,1.9
35.72,3,10,ZRI,15,0.97,45,OpenDown,old,1.9
27.19,3,10,ZRI,15,0.97,90,OpenDown,old,1.9
34.54,3,40,ORI,-2,0.25,0,OpenDown,new,51.75
34.72,3,40,ORI,-2,0.25,45,OpenDown,new,51.75
27.23,3,40,ORI,-2,0.25,90,OpenDown,new,51.75
81.46,3,40,URI,32,3.2,0,OpenDown,new,0.0448
74.99,3,40,URI,32,3.2,45,OpenDown,new,0.0448
37.34,3,40,URI,32,3.2,90,OpenDown,new,0.0448
47.82,3,40,ZRI,18,1.4,0,OpenDown,new,0.8
41.48,3,40,ZRI,18,1.4,45,OpenDown,new,0.8
32.26,3,40,ZRI,18,1.4,90,OpenDown,new,0.8
34.54,3,10,ORI,-2,0.25,0,OpenDown,new,51.75
34.72,3,10,ORI,-2,0.25,45,OpenDown,new,51.75
27.23,3,10,ORI,-2,0.25,90,OpenDown,new,51.75
81.46,3,10,URI,32,3.2,0,OpenDown,new,0.0448
74.99,3,10,URI,32,3.2,45,OpenDown,new,0.0448
37.34,3,10,URI,32,3.2,90,OpenDown,new,0.0448
47.82,3,10,ZRI,18,1.4,0,OpenDown,new,0.8
41.48,3,10,ZRI,18,1.4,45,OpenDown,new,0.8
32.26,3,10,ZRI,18,1.4,90,OpenDown,new,0.8
34.52,3,40,ORI,0,0.33,0,OpenUp,old,28.0
28.63,3,40,ORI,0,0.33,45,OpenUp,old,28.0
25.08,3,40,ORI,0,0.33,90,OpenUp,old,28.0
28.11,3,40,ORI,7,0.45,0,OpenUp,old,12.0
25.46,3,40,ORI,7,0.45,45,OpenUp,old,12.0
21.84,3,40,ORI,7,0.45,90,OpenUp,old,12.0
70.83,3,40,URI,22,2.5,0,OpenUp,old,0.198
53.96,3,40,URI,22,2.5,45,OpenUp,old,0.198
27.2,3,40,URI,22,2.5,90,OpenUp,old,0.198
79.52,3,40,URI,30,2.8,0,OpenUp,old,0.078
58.93,3,40,URI,30,2.8,45,OpenUp,old,0.078
23.6,3,40,URI,30,2.8,90,OpenUp,old,0.078
34.67,3,40,ZRI,10,0.85,0,OpenUp,old,3.0
27.59,3,40,ZRI,10,0.85,45,OpenUp,old,3.0
22.03,3,40,ZRI,10,0.85,90,OpenUp,old,3.0
34.42,3,40,ZRI,15,0.97,0,OpenUp,old,1.9
27.47,3,40,ZRI,15,0.97,45,OpenUp,old,1.9
21.35,3,40,ZRI,15,0.97,90,OpenUp,old,1.9
34.52,3,10,ORI,0,0.33,0,OpenUp,old,28.0
28.63,3,10,ORI,0,0.33,45,OpenUp,old,28.0
25.08,3,10,ORI,0,0.33,90,OpenUp,old,28.0
28.11,3,10,ORI,7,0.45,0,OpenUp,old,12.0
25.46,3,10,ORI,7,0.45,45,OpenUp,old,12.0
21.84,3,10,ORI,7,0.45,90,OpenUp,old,12.0
70.83,3,10,URI,22,2.5,0,OpenUp,old,0.198
53.96,3,10,URI,22,2.5,45,OpenUp,old,0.198
27.2,3,10,URI,22,2.5,90,OpenUp,old,0.198
79.52,3,10,URI,30,2.8,0,OpenUp,old,0.078
58.93,3,10,URI,30,2.8,45,OpenUp,old,0.078
23.6,3,10,URI,30,2.8,90,OpenUp,old,0.078
34.67,3,10,ZRI,10,0.85,0,OpenUp,old,3.0
27.59,3,10,ZRI,10,0.85,45,OpenUp,old,3.0
22.03,3,10,ZRI,10,0.85,90,OpenUp,old,3.0
34.42,3,10,ZRI,15,0.97,0,OpenUp,old,1.9
27.47,3,10,ZRI,15,0.97,45,OpenUp,old,1.9
21.35,3,10,ZRI,15,0.97,90,OpenUp,old,1.9
28.91,3,40,ORI,-2,0.25,0,OpenUp,new,51.75
27.39,3,40,ORI,-2,0.25,45,OpenUp,new,51.75
25.51,3,40,ORI,-2,0.25,90,OpenUp,new,51.75
90.42,3,40,URI,32,3.2,0,OpenUp,new,0.0448
66.84,3,40,URI,32,3.2,45,OpenUp,new,0.0448
24.15,3,40,URI,32,3.2,90,OpenUp,new,0.0448
41.98,3,40,ZRI,18,1.4,0,OpenUp,new,0.8
34.79,3,40,ZRI,18,1.4,45,OpenUp,new,0.8
23.09,3,40,ZRI,18,1.4,90,OpenUp,new,0.8
28.91,3,10,ORI,-2,0.25,0,OpenUp,new,51.75
27.39,3,10,ORI,-2,0.25,45,OpenUp,new,51.75
25.51,3,10,ORI,-2,0.25,90,OpenUp,new,51.75
90.42,3,10,URI,32,3.2,0,OpenUp,new,0.0448
66.84,3,10,URI,32,3.2,45,OpenUp,new,0.0448
24.15,3,10,URI,32,3.2,90,OpenUp,new,0.0448
41.98,3,10,ZRI,18,1.4,0,OpenUp,new,0.8
34.79,3,10,ZRI,18,1.4,45,OpenUp,new,0.8
23.09,3,10,ZRI,18,1.4,90,OpenUp,new,0.8
65.94,4,40,ORI,0,0.33,0,Open,old,28.0
57.66,4,40,ORI,0,0.33,45,Open,old,28.0
47.15,4,40,ORI,0,0.33,90,Open,old,28.0
63.29,4,40,ORI,7,0.45,0,Open,old,12.0
53.27,4,40,ORI,7,0.45,45,Open,old,12.0
46.32,4,40,ORI,7,0.45,90,Open,old,12.0
162.3,4,40,URI,22,2.5,0,Open,old,0.198
128.1,4,40,URI,22,2.5,45,Open,old,0.198
55.64,4,40,URI,22,2.5,90,Open,old,0.198
176.2,4,40,URI,30,2.8,0,Open,old,0.078
139.7,4,40,URI,30,2.8,45,Open,old,0.078
49.98,4,40,URI,30,2.8,90,Open,old,0.078
78.98,4,40,ZRI,10,0.85,0,Open,old,3.0
60.24,4,40,ZRI,10,0.85,45,Open,old,3.0
46.13,4,40,ZRI,10,0.85,90,Open,old,3.0
78.64,4,40,ZRI,15,0.97,0,Open,old,1.9
58.75,4,40,ZRI,15,0.97,45,Open,old,1.9
44.25,4,40,ZRI,15,0.97,90,Open,old,1.9
65.94,4,10,ORI,0,0.33,0,Open,old,28.0
57.66,4,10,ORI,0,0.33,45,Open,old,28.0
47.15,4,10,ORI,0,0.33,90,Open,old,28.0
63.29,4,10,ORI,7,0.45,0,Open,old,12.0
53.27,4,10,ORI,7,0.45,45,Open,old,12.0
46.32,4,10,ORI,7,0.45,90,Open,old,12.0
162.3,4,10,URI,22,2.5,0,Open,old,0.198
128.1,4,10,URI,22,2.5,45,Open,old,0.198
55.64,4,10,URI,22,2.5,90,Open,old,0.198
176.2,4,10,URI,30,2.8,0,Open,old,0.078
139.7,4,10,URI,30,2.8,45,Open,old,0.078
49.98,4,10,URI,30,2.8,90,Open,old,0.078
78.98,4,10,ZRI,10,0.85,0,Open,old,3.0
60.24,4,10,ZRI,10,0.85,45,Open,old,3.0
46.13,4,10,ZRI,10,0.85,90,Open,old,3.0
78.64,4,10,ZRI,15,0.97,0,Open,old,1.9
58.75,4,10,ZRI,15,0.97,45,Open,old,1.9
44.25,4,10,ZRI,15,0.97,90,Open,old,1.9
46.29,4,40,ORI,-2,0.25,0,Open,new,51.75
57.39,4,40,ORI,-2,0.25,45,Open,new,51.75
49.15,4,40,ORI,-2,0.25,90,Open,new,51.75
197.9,4,40,URI,32,3.2,0,Open,new,0.0448
158.5,4,40,URI,32,3.2,45,Open,new,0.0448
50.7,4,40,URI,32,3.2,90,Open,new,0.0448
99.3,4,40,ZRI,18,1.4,0,Open,new,0.8
79.27,4,40,ZRI,18,1.4,45,Open,new,0.8
48.79,4,40,ZRI,18,1.4,90,Open,new,0.8
46.29,4,10,ORI,-2,0.25,0,Open,new,51.75
57.39,4,10,ORI,-2,0.25,45,Open,new,51.75
49.15,4,10,ORI,-2,0.25,90,Open,new,51.75
197.9,4,10,URI,32,3.2,0,Open,new,0.0448
158.5,4,10,URI,32,3.2,45,Open,new,0.0448
50.7,4,10,URI,32,3.2,90,Open,new,0.0448
99.3,4,10,ZRI,18,1.4,0,Open,new,0.8
79.27,4,10,ZRI,18,1.4,45,Open,new,0.8
48.79,4,10,ZRI,18,1.4,90,Open,new,0.8
40.0,4,40,ORI,0,0.33,0,OpenDown,old,28.0
35.79,4,40,ORI,0,0.33,45,OpenDown,old,28.0
25.42,4,40,ORI,0,0.33,90,OpenDown,old,28.0
39.25,4,40,ORI,7,0.45,0,OpenDown,old,12.0
29.97,4,40,ORI,7,0.45,45,OpenDown,old,12.0
23.25,4,40,ORI,7,0.45,90,OpenDown,old,12.0
71.21,4,40,URI,22,2.5,0,OpenDown,old,0.198
64.39,4,40,URI,22,2.5,45,OpenDown,old,0.198
32.37,4,40,URI,22,2.5,90,OpenDown,old,0.198
72.77,4,40,URI,30,2.8,0,OpenDown,old,0.078
65.49,4,40,URI,30,2.8,45,OpenDown,old,0.078
28.97,4,40,URI,30,2.8,90,OpenDown,old,0.078
44.48,4,40,ZRI,10,0.85,0,OpenDown,old,3.0
32.95,4,40,ZRI,10,0.85,45,OpenDown,old,3.0
24.41,4,40,ZRI,10,0.85,90,OpenDown,old,3.0
44.02,4,40,ZRI,15,0.97,0,OpenDown,old,1.9
32.8,4,40,ZRI,15,0.97,45,OpenDown,old,1.9
22.34,4,40,ZRI,15,0.97,90,OpenDown,old,1.9
40.0,4,10,ORI,0,0.33,0,OpenDown,old,28.0
35.79,4,10,ORI,0,0.33,45,OpenDown,old,28.0
25.42,4,10,ORI,0,0.33,90,OpenDown,old,28.0
39.25,4,10,ORI,7,0.45,0,OpenDown,old,12.0
29.97,4,10,ORI,7,0.45,45,OpenDown,old,12.0
23.25,4,10,ORI,7,0.45,90,OpenDown,old,12.0
71.21,4,10,URI,22,2.5,0,OpenDown,old,0.198
64.39,4,10,URI,22,2.5,45,OpenDown,old,0.198
32.37,4,10,URI,22,2.5,90,OpenDown,old,0.198
72.77,4,10,URI,30,2.8,0,OpenDown,old,0.078
65.49,4,10,URI,30,2.8,45,OpenDown,old,0.078
28.97,4,10,URI,30,2.8,90,OpenDown,old,0.078
44.48,4,10,ZRI,10,0.85,0,OpenDown,old,3.0
32.95,4,10,ZRI,10,0.85,45,OpenDown,old,3.0
24.41,4,10,ZRI,10,0.85,90,OpenDown,old,3.0
44.02,4,10,ZRI,15,0.97,0,OpenDown,old,1.9
32.8,4,10,ZRI,15,0.97,45,OpenDown,old,1.9
22.34,4,10,ZRI,15,0.97,90,OpenDown,old,1.9
30.41,4,40,ORI,-2,0.25,0,OpenDown,new,51.75
30.32,4,40,ORI,-2,0.25,45,OpenDown,new,51.75
25.49,4,40,ORI,-2,0.25,90,OpenDown,new,51.75
81.67,4,40,URI,32,3.2,0,OpenDown,new,0.0448
72.14,4,40,URI,32,3.2,45,OpenDown,new,0.0448
27.74,4,40,URI,32,3.2,90,OpenDown,new,0.0448
48.22,4,40,ZRI,18,1.4,0,OpenDown,new,0.8
44.18,4,40,ZRI,18,1.4,45,OpenDown,new,0.8
25.89,4,40,ZRI,18,1.4,90,OpenDown,new,0.8
30.41,4,10,ORI,-2,0.25,0,OpenDown,new,51.75
30.32,4,10,ORI,-2,0.25,45,OpenDown,new,51.75
25.49,4,10,ORI,-2,0.25,90,OpenDown,new,51.75
81.67,4,10,URI,32,3.2,0,OpenDown,new,0.0448
72.14,4,10,URI,32,3.2,45,OpenDown,new,0.0448
27.74,4,10,URI,32,3.2,90,OpenDown,new,0.0448
48.22,4,10,ZRI,18,1.4,0,OpenDown,new,0.8
44.18,4,10,ZRI,18,1.4,45,OpenDown,new,0.8
25.89,4,10,ZRI,18,1.4,90,OpenDown,new,0.8
30.87,4,40,ORI,0,0.33,0,OpenUp,old,28.0
28.89,4,40,ORI,0,0.33,45,OpenUp,old,28.0
22.65,4,40,ORI,0,0.33,90,OpenUp,old,28.0
28.33,4,40,ORI,7,0.45,0,OpenUp,old,12.0
24.16,4,40,ORI,7,0.45,45,OpenUp,old,12.0
20.77,4,40,ORI,7,0.45,90,OpenUp,old,12.0
69.89,4,40,URI,22,2.5,0,OpenUp,old,0.198
50.1,4,40,URI,22,2.5,45,OpenUp,old,0.198
23.5,4,40,URI,22,2.5,90,OpenUp,old,0.198
79.62,4,40,URI,30,2.8,0,OpenUp,old,0.078
55.73,4,40,URI,30,2.8,45,OpenUp,old,0.078
19.92,4,40,URI,30,2.8,90,OpenUp,old,0.078
32.36,4,40,ZRI,10,0.85,0,OpenUp,old,3.0
25.01,4,40,ZRI,10,0.85,45,OpenUp,old,3.0
